model,accuracy_mean,accuracy_std,f1_mean,f1_std,auc_mean,auc_std,average_precision_mean,average_precision_std,brier_mean,brier_std,cross_entropy_mean,cross_entropy_std,fit_time_s_mean,fit_time_s_std,inference_ms_per_row_mean,inference_ms_per_row_std
Expert DAG,0.9360322238823928,4.48032163523431e-05,0.1439084359269726,0.0010008397393266087,0.6003555432130919,0.003748870635808761,0.08642148844723879,0.0015999832474242052,0.05942270608664487,6.416148055250065e-05,0.23378776683298738,0.0003412670759990482,0.06175518000018201,0.03206283926377078,0.47378995569459426,0.1296465609886696
Hill-Climb (BIC),0.9360322238823928,4.48032163523431e-05,0.1391738908251811,0.0013364993115906297,0.5881925343873725,0.007982834202213164,0.08135616288286188,0.003346430655272945,0.05947169251721539,8.760632358064108e-05,0.234238440214946,0.000586444142754618,1.3337012199997844,0.5541547479675246,0.6173689001449512,0.220658753990581
Tree-Augmented Naive Bayes,0.9360322238823928,4.48032163523431e-05,0.1433049577265784,0.003571251838863812,0.6012313962113189,0.0072811727786658495,0.08731427542714162,0.0031743803905357223,0.059434480902705776,0.00010541481645063327,0.23381547273102057,0.000830212001850715,1.151610420000361,1.1754596771621737,0.8309300995941735,0.30619527915728256
