accuracy,f1,auc,average_precision,brier,cross_entropy,fit_time_s,inference_ms_per_row,model,fold
0.93625,0.11497005988023952,0.492514463729417,0.06204573688593723,0.05980422231666495,0.23812688011755132,0.059381800005212426,0.5191710749968479,Expert DAG,0
0.93625,0.12129471890971039,0.5167815911411293,0.06595235982861043,0.05967710656331065,0.23708641745266426,0.5866776000038953,0.5656557999973302,Hill-Climb (BIC),0
0.93625,0.11413843888070692,0.48720804209534274,0.062333496115429,0.05986818581228555,0.23863011928817304,3.1429292000102578,0.7006326250011625,Tree-Augmented Naive Bayes,0
0.936,0.13731768054073284,0.5454268496260684,0.0712311574993465,0.05979511098027566,0.23694948730317442,0.04723480000393465,0.5190448999965156,Expert DAG,1
0.936,0.1320754716981132,0.557548327323718,0.07263479096797631,0.05982021899027049,0.23712989778999324,0.493813199995202,0.5064149499994528,Hill-Climb (BIC),1
0.936,0.12542144302090358,0.5271695128872863,0.06819324825262726,0.06000880479809627,0.23870606020877422,0.22307039999577682,0.6814515000005485,Tree-Augmented Naive Bayes,1
0.936,0.11090295991007867,0.47903833633814097,0.061694325754988365,0.06005714094879253,0.23919052804789329,0.045003799998085015,0.5239339750005456,Expert DAG,2
0.936,0.11279972982100642,0.4902244633079594,0.06304787522508891,0.06000634535637459,0.23872929964161338,0.4963729000010062,0.5162947999997414,Hill-Climb (BIC),2
0.936,0.11514195583596215,0.5143630851028312,0.06696266163330372,0.05998954546875965,0.23853316581906062,0.2267573999997694,0.7023598499981745,Tree-Augmented Naive Bayes,2
0.936,0.13054830287206268,0.5327440571581197,0.06741649276417956,0.059901317312573754,0.2375996063593311,0.04520330000377726,0.48655465000047116,Expert DAG,3
0.936,0.11952191235059761,0.5320945804954593,0.06824111086915141,0.05985636200257645,0.23742768534613445,0.47370679999585263,0.5398143749989686,Hill-Climb (BIC),3
0.936,0.129202871174915,0.5312129615718484,0.0701541172221544,0.05993400187562639,0.23832025659808903,0.22232130001066253,0.6970394500021939,Tree-Augmented Naive Bayes,3
0.936,0.12175204157386786,0.5088031475360577,0.06605515077746729,0.059913954118151064,0.23802138094429073,0.04551019999780692,0.48143960000015795,Expert DAG,4
0.936,0.12411942301241194,0.5310053377069979,0.06857176723738223,0.05986182926208591,0.23748099683415497,0.4670795999991242,0.5141065249990788,Hill-Climb (BIC),4
0.936,0.11899482631189948,0.5176235101161859,0.06728512458046643,0.05994381151943553,0.2382266041564194,0.22254570000222884,0.6972241499970551,Tree-Augmented Naive Bayes,4
